name,time,69886_rssi,69886_snr,69886_time,ae05e_rssi,ae05e_snr,ae05e_time,f3c80_rssi,f3c80_snr,f3c80_time,degreesC,humidity
Senzor_zemlje_2,1576488095001749123,,,,,,,-100,9.2,2019-12-16T09:21:34.718542Z,93.017578125,576.171875
Senzor_zemlje_2,1576488394651187797,,,,,,,-101,9.5,2019-12-16T09:26:34.375302Z,93.994140625,576.171875
Senzor_zemlje_2,1576488694309257651,,,,,,,-100,11.5,2019-12-16T09:31:34.030488Z,93.994140625,576.171875
Senzor_zemlje_2,1576488993965823863,,,,,,,-99,9.2,2019-12-16T09:36:33.694906Z,93.994140625,576.171875
Senzor_zemlje_2,1576489293708404450,,,,,,,-100,11,2019-12-16T09:41:33.361074Z,93.994140625,576.171875
Senzor_zemlje_2,1576489593371496052,,,,,,,-101,8.5,2019-12-16T09:46:33.015909Z,93.994140625,576.171875
Senzor_zemlje_2,1576489893069517458,,,,,,,-99,10,2019-12-16T09:51:32.669663Z,94.970703125,576.171875
Senzor_zemlje_2,1576490192638681609,,,,,,,-102,10.8,2019-12-16T09:56:32.337806Z,94.970703125,576.171875
Senzor_zemlje_2,1576490492453067808,,,,,,,-100,10.5,2019-12-16T10:01:31.991995Z,94.970703125,576.171875
Senzor_zemlje_2,1576490791999838610,,,,,,,-105,11.5,2019-12-16T10:06:31.657982Z,94.970703125,576.171875
Senzor_zemlje_2,1576491091622083071,,,,,,,-100,9.8,2019-12-16T10:11:31.313828Z,96.00830078125,576.171875
Senzor_zemlje_2,1576491391260884789,,,,,,,-103,11.5,2019-12-16T10:16:30.969Z,96.00830078125,576.171875
Senzor_zemlje_2,1576491690889748794,,,,,,,-100,11.2,2019-12-16T10:21:30.624246Z,96.00830078125,576.171875
Senzor_zemlje_2,1576491990682700991,,,,,,,-99,9,2019-12-16T10:26:30.284427Z,96.00830078125,576.171875
Senzor_zemlje_2,1576492290219665402,,,,,,,-100,8.5,2019-12-16T10:31:29.936729Z,96.00830078125,576.171875
Senzor_zemlje_2,1576492589877331694,,,,,,,-105,10.8,2019-12-16T10:36:29.600234Z,96.98486328125,576.171875
Senzor_zemlje_2,1576492889534457508,,,,,,,-100,11.2,2019-12-16T10:41:29.255764Z,96.98486328125,576.171875
Senzor_zemlje_2,1576493189190019147,,,,,,,-105,10.5,2019-12-16T10:46:28.902281Z,96.98486328125,576.171875
Senzor_zemlje_2,1576493788523702071,,,,,,,-103,10,2019-12-16T10:56:28.207373Z,98.0224609375,577.1484375
Senzor_zemlje_2,1576494088131982552,,,,,,,-100,10.8,2019-12-16T11:01:27.865437Z,98.0224609375,578.125
Senzor_zemlje_2,1576494387851970207,,,,,,,-103,10,2019-12-16T11:06:27.514851Z,98.0224609375,577.1484375
Senzor_zemlje_2,1576494687469356932,,,,,,,-100,10.8,2019-12-16T11:11:27.177949Z,98.0224609375,578.125
Senzor_zemlje_2,1576494987114375147,,,,,,,-105,11,2019-12-16T11:16:26.835961Z,98.9990234375,577.1484375
Senzor_zemlje_2,1576495286754658015,,,,,,,-99,9.8,2019-12-16T11:21:26.488386Z,98.9990234375,577.1484375
Senzor_zemlje_2,1576495586415374736,,,,,,,-103,10.5,2019-12-16T11:26:26.145582Z,98.9990234375,578.125
Senzor_zemlje_2,1576495886088533014,,,,,,,-99,9.5,2019-12-16T11:31:25.808723Z,98.9990234375,578.125
Senzor_zemlje_2,1576496185782353278,,,,,,,-100,8.5,2019-12-16T11:36:25.46332Z,98.9990234375,578.125
Senzor_zemlje_2,1576496485399688860,,,,,,,-100,11.2,2019-12-16T11:41:25.127411Z,99.9755859375,577.1484375
Senzor_zemlje_2,1576496785053514532,,,,,,,-105,11,2019-12-16T11:46:24.7803Z,99.9755859375,578.125
Senzor_zemlje_2,1576497084730029442,,,,,,,-100,9.2,2019-12-16T11:51:24.438691Z,99.9755859375,578.125
Senzor_zemlje_2,1576497384382723820,,,,,,,-100,9,2019-12-16T11:56:24.092327Z,99.9755859375,578.125
Senzor_zemlje_2,1576497684037489994,,,,,,,-100,10.5,2019-12-16T12:01:23.73696Z,101.98974609375,578.125
Senzor_zemlje_2,1576497983735174076,,,,,,,-102,9,2019-12-16T12:06:23.383642Z,101.98974609375,578.125
Senzor_zemlje_2,1576498283356004747,,,,,,,-99,10.2,2019-12-16T12:11:23.040023Z,101.98974609375,578.125
Senzor_zemlje_2,1576498586133978888,,,,,,,-103,11.2,2019-12-16T12:16:25.815067Z,101.98974609375,578.125
Senzor_zemlje_2,1576498882738525270,,,,,,,-100,11.2,2019-12-16T12:21:22.344276Z,103.02734375,578.125
Senzor_zemlje_2,1576499182291933333,,,,,,,-101,10.8,2019-12-16T12:26:21.997495Z,103.02734375,578.125
Senzor_zemlje_2,1576499481917995987,,,,,,,-100,11.8,2019-12-16T12:31:21.639306Z,103.02734375,578.125
Senzor_zemlje_2,1576500081235408474,,,,,,,-99,10.2,2019-12-16T12:41:20.957237Z,104.00390625,578.125
Senzor_zemlje_2,1576500380877283374,,,,,,,-99,9,2019-12-16T12:46:20.606334Z,104.00390625,578.125
Senzor_zemlje_2,1576500680544461403,,,,,,,-100,11,2019-12-16T12:51:20.267154Z,104.00390625,578.125
Senzor_zemlje_2,1576500980249746491,,,,,,,-103,10.2,2019-12-16T12:56:19.92555Z,104.00390625,578.125
Senzor_zemlje_2,1576501579537847067,,,,,,,-103,9.5,2019-12-16T13:06:19.240157Z,104.98046875,578.125
Senzor_zemlje_2,1576501879191770224,,,,,,,-100,11.5,2019-12-16T13:11:18.903133Z,104.98046875,579.1015625
Senzor_zemlje_2,1576502478587490989,,,,,,,-100,10.8,2019-12-16T13:21:18.218222Z,106.01806640625,579.1015625
Senzor_zemlje_2,1576502778316797890,,,,,,,-101,10.8,2019-12-16T13:26:17.873161Z,106.01806640625,579.1015625
Senzor_zemlje_2,1576503077940919897,,,,,,,-100,9.2,2019-12-16T13:31:17.532105Z,106.99462890625,579.1015625
Senzor_zemlje_2,1576503377544079672,,,,,,,-102,8.5,2019-12-16T13:36:17.194654Z,106.99462890625,579.1015625
Senzor_zemlje_2,1576503677216526462,,,,,,,-99,9.2,2019-12-16T13:41:16.854663Z,106.99462890625,579.1015625
Senzor_zemlje_2,1576503976807795476,,,,,,,-100,9,2019-12-16T13:46:16.506929Z,107.97119140625,580.078125
Senzor_zemlje_2,1576504276456936158,,,,,,,-100,9.2,2019-12-16T13:51:16.168722Z,107.97119140625,580.078125
Senzor_zemlje_2,1576504576112552381,,,,,,,-103,10.8,2019-12-16T13:56:15.836159Z,107.97119140625,579.1015625
