time,Tlak,temp_air,humidity_air,temp_soil,humidity_soil
2020-01-08 19:00:00,1028.4833333333293,21.9146728515625,27.2857666015625,2.5013427734375,33.3558238636365
2020-01-08 20:00:00,1028.5833333333296,21.221923828125,28.2562255859375,2.400634765625,33.37357954545468
2020-01-08 21:00:00,1028.5999999999965,20.53375244140625,28.84521484375,2.2999267578125,33.39133522727286
2020-01-08 22:00:00,1028.9166666666633,20.19805908203125,28.924560546875,2.24957275390625,33.40909090909104
2020-01-08 23:00:00,1029.1166666666634,19.81964111328125,28.936767578125,2.19921875,33.40909090909104
2020-01-09 00:00:00,1028.6833333333298,19.70367431640625,28.8970947265625,2.06036376953125,33.400213068181955
2020-01-09 01:00:00,1029.1833333333304,19.40155029296875,28.6773681640625,2.0008544921875,33.39133522727287
2020-01-09 02:00:00,1029.0833333333303,19.15435791015625,28.485107421875,1.9202880859375,33.37357954545469
2020-01-09 03:00:00,1028.33333333333,18.98651123046875,28.4332275390625,1.900146484375,33.364701704545595
2020-02-12 12:00:00,1014.9999999999909,23.8372802734375,46.075439453125,7.299999999999987,22.41818181818196
2020-02-12 13:00:00,1014.6499999999915,24.019241333007812,41.351318359375,7.6799999999999855,22.41818181818196
2020-02-12 14:00:00,1014.5166666666579,23.70452880859375,40.355682373046875,8.239999999999988,22.427272727272868
2020-02-12 15:00:00,1015.0833333333244,23.365020751953125,40.22216796875,8.639999999999985,22.445454545454687
2020-02-12 16:00:00,1016.3499999999914,22.77374267578125,40.454864501953125,8.799999999999983,22.445454545454687
2020-02-12 17:00:00,1017.249999999991,22.342681884765625,40.660858154296875,8.799999999999983,22.445454545454687
2020-02-12 18:00:00,1017.4833333333245,22.031784057617188,40.782928466796875,8.679999999999987,22.436363636363772
2020-02-12 19:00:00,1018.0333333333248,21.78955078125,40.3594970703125,8.519999999999985,22.436363636363772
2020-02-12 20:00:00,1018.866666666658,21.570205688476562,39.646148681640625,8.319999999999986,22.427272727272868
2020-02-12 21:00:00,1019.3333333333243,21.364212036132812,39.40582275390625,8.009999999999987,22.427272727272868
2020-02-12 22:00:00,1020.2166666666576,21.17156982421875,38.845062255859375,7.779999999999985,22.427272727272868
2020-02-12 23:00:00,1020.8833333333245,21.0113525390625,38.24615478515625,7.599999999999982,22.427272727272868
2020-02-13 00:00:00,1021.4999999999915,20.862579345703125,37.532806396484375,7.439999999999989,22.427272727272868
2020-02-13 01:00:00,1022.3333333333245,20.711898803710938,37.067413330078125,7.259999999999986,22.418181818181957
2020-02-13 02:00:00,1022.1499999999915,20.54595947265625,36.037445068359375,7.089999999999982,22.427272727272868
2020-02-13 03:00:00,1021.5999999999913,20.374298095703125,34.8052978515625,6.92999999999999,22.43636363636378
2020-02-13 04:00:00,1022.0833333333244,20.215988159179688,33.72955322265625,6.7699999999999845,22.44545454545469
2020-02-13 05:00:00,1022.4499999999912,20.092010498046875,32.99713134765625,6.609999999999983,22.454545454545602
2020-02-13 06:00:00,1023.0833333333244,20.20263671875,32.764434814453125,6.399999999999984,22.472727272727422
2020-02-13 07:00:00,1023.4499999999912,20.978927612304688,32.726287841796875,6.209999999999988,22.49090909090924
2020-02-13 08:00:00,1023.3666666666576,21.9268798828125,32.8521728515625,6.099999999999979,22.50909090909106
2020-02-13 09:00:00,1023.316666666658,23.204803466796875,31.732559204101562,5.999999999999985,22.52727272727288
2020-02-13 10:00:00,1023.3833333333242,23.118972778320312,30.290603637695312,5.999999999999986,22.53636363636379
2020-02-13 11:00:00,1023.0666666666579,23.1170654296875,30.790328979492188,6.09999999999998,22.545454545454703
2020-02-13 12:00:00,1022.2499999999915,23.038864135742188,31.686782836914062,6.289999999999977,22.545454545454703
2020-02-13 14:00:00,1021.1833333333246,23.523330688476562,35.602569580078125,7.309999999999978,22.509090909091064
2020-02-13 15:00:00,1020.749999999991,22.531509399414062,37.4298095703125,7.709999999999975,22.49090909090925
2020-02-13 16:00:00,1020.4666666666576,22.138595581054688,37.906646728515625,7.909999999999982,22.47272727272743
2020-02-13 17:00:00,1020.3833333333242,21.961212158203125,38.330078125,7.969999999999979,22.45454545454561
2020-02-13 18:00:00,1020.0666666666579,21.741867065429688,38.555145263671875,7.899999999999983,22.43636363636379
2020-02-13 19:00:00,1019.416666666658,21.265029907226562,39.03961181640625,7.789999999999975,22.41818181818197
2020-02-13 20:00:00,1019.1333333333249,21.017074584960938,38.562774658203125,7.689999999999979,22.400000000000155
2020-02-13 21:00:00,1018.8499999999914,21.007537841796875,37.899017333984375,7.5799999999999725,22.381818181818335
2020-02-13 22:00:00,1019.1333333333245,20.95794677734375,37.456512451171875,7.479999999999978,22.363636363636516
2020-02-13 23:00:00,1018.2333333333245,20.755767822265625,37.13226318359375,7.399999999999983,22.363636363636516
2020-02-14 00:00:00,1016.499999999991,20.565032958984375,38.066864013671875,7.299999999999974,22.363636363636516
2020-02-14 01:00:00,1016.2166666666577,20.444869995117188,40.35186767578125,7.299999999999974,22.363636363636516
2020-02-14 02:00:00,1015.6166666666578,20.494461059570312,41.44287109375,7.299999999999974,22.363636363636516
2020-02-14 03:00:00,1014.916666666658,20.503997802734375,42.48046875,7.299999999999974,22.363636363636516
2020-02-14 04:00:00,1014.3833333333247,20.53070068359375,43.426513671875,7.399999999999983,22.363636363636516
2020-02-14 05:00:00,1012.9666666666577,20.374298095703125,43.81561279296875,7.399999999999983,22.363636363636516
2020-02-14 06:00:00,1012.366666666658,20.517349243164062,43.910980224609375,7.419999999999982,22.363636363636516
