time,pressure,air_temp,air_humidity,soil_temp,soil_humidity
2020-01-08 19:00:00,1028.5,21.49658203125,27.9296875,2.5013427734375,33.35582386363637
2020-01-08 20:00:00,1028.6,20.947265625,28.515625,2.400634765625,33.35582386363637
2020-01-08 21:00:00,1028.6,20.39794921875,28.9306640625,2.2999267578125,33.35582386363637
2020-01-08 22:00:00,1029.2,20.08056640625,28.9306640625,2.19921875,33.35582386363637
2020-01-08 23:00:00,1029.1,19.78759765625,28.955078125,2.19921875,33.35582386363637
2020-01-09 00:00:00,1028.6,19.51904296875,28.7841796875,2.0008544921875,33.35582386363637
2020-01-09 01:00:00,1029.3,19.29931640625,28.564453125,2.0008544921875,33.35582386363637
2020-01-09 02:00:00,1029.0,19.10400390625,28.4423828125,1.900146484375,33.35582386363637
2020-01-09 03:00:00,1028.2,18.9453125,28.41796875,1.900146484375,33.35582386363637
2020-02-12 12:00:00,1014.9,24.4140625,48.15673828125,7.4,22.363636363636363
2020-02-12 13:00:00,1014.6,24.3072509765625,39.703369140625,7.9,22.363636363636363
2020-02-12 14:00:00,1014.5,23.651123046875,40.374755859375,8.4,22.454545454545453
2020-02-12 15:00:00,1015.2,23.223876953125,40.0390625,8.7,22.545454545454547
2020-02-12 16:00:00,1016.6,22.613525390625,40.557861328125,8.8,22.454545454545453
2020-02-12 17:00:00,1017.4,22.2320556640625,40.71044921875,8.8,22.454545454545453
2020-02-12 18:00:00,1017.5,21.97265625,40.71044921875,8.6,22.454545454545453
2020-02-12 19:00:00,1018.6,21.7132568359375,40.191650390625,8.4,22.454545454545453
2020-02-12 20:00:00,1019.0,21.4996337890625,39.4287109375,8.2,22.363636363636363
2020-02-12 21:00:00,1019.4,21.30126953125,39.276123046875,7.9,22.363636363636363
2020-02-12 22:00:00,1020.4,21.1181640625,38.726806640625,7.699999999999999,22.363636363636363
2020-02-12 23:00:00,1021.0,20.965576171875,38.055419921875,7.5,22.363636363636363
2020-02-13 00:00:00,1021.6,20.7977294921875,37.384033203125,7.4,22.454545454545453
2020-02-13 01:00:00,1022.5,20.660400390625,36.865234375,7.199999999999999,22.454545454545453
2020-02-13 02:00:00,1022.1,20.4925537109375,35.58349609375,7.0,22.545454545454547
2020-02-13 03:00:00,1021.5,20.32470703125,34.515380859375,6.9,22.545454545454547
2020-02-13 04:00:00,1022.2,20.172119140625,33.447265625,6.699999999999999,22.545454545454547
2020-02-13 05:00:00,1022.5,20.0653076171875,32.867431640625,6.5,22.545454545454547
2020-02-13 06:00:00,1023.2,20.32470703125,32.562255859375,6.300000000000001,22.545454545454547
2020-02-13 07:00:00,1023.5,21.270751953125,32.71484375,6.199999999999999,22.545454545454547
2020-02-13 08:00:00,1023.4,22.4456787109375,32.745361328125,6.1,22.545454545454547
2020-02-13 09:00:00,1023.3,23.1475830078125,30.5328369140625,6.0,22.545454545454547
2020-02-13 10:00:00,1023.4,23.193359375,30.5633544921875,6.0,22.545454545454547
2020-02-13 11:00:00,1023.0,23.0712890625,30.7769775390625,6.1,22.545454545454547
2020-02-13 12:00:00,1022.1,23.01025390625,32.8369140625,6.5,22.545454545454547
2020-02-13 14:00:00,1021.0,23.6968994140625,35.64453125,7.5,22.363636363636363
2020-02-13 15:00:00,1020.7,22.27783203125,37.53662109375,7.800000000000001,22.363636363636363
2020-02-13 16:00:00,1020.4,22.064208984375,38.26904296875,8.0,22.363636363636363
2020-02-13 17:00:00,1020.4,21.9268798828125,38.330078125,7.9,22.363636363636363
2020-02-13 18:00:00,1020.0,21.636962890625,38.909912109375,7.9,22.363636363636363
2020-02-13 19:00:00,1019.3,21.270751953125,38.75732421875,7.699999999999999,22.363636363636363
2020-02-13 20:00:00,1019.1,20.7977294921875,38.75732421875,7.6,22.363636363636363
2020-02-13 21:00:00,1018.8,21.0113525390625,37.689208984375,7.5,22.363636363636363
2020-02-13 22:00:00,1019.2,20.904541015625,37.506103515625,7.4,22.363636363636363
2020-02-13 23:00:00,1018.0,20.7366943359375,37.017822265625,7.4,22.363636363636363
2020-02-14 00:00:00,1016.2,20.5535888671875,38.543701171875,7.300000000000001,22.363636363636363
2020-02-14 01:00:00,1016.2,20.4620361328125,40.863037109375,7.300000000000001,22.363636363636363
2020-02-14 02:00:00,1015.5,20.5841064453125,41.32080078125,7.300000000000001,22.363636363636363
2020-02-14 03:00:00,1014.8,20.5078125,42.78564453125,7.300000000000001,22.363636363636363
2020-02-14 04:00:00,1014.3,20.5230712890625,43.426513671875,7.4,22.363636363636363
2020-02-14 05:00:00,1012.7,20.4010009765625,43.853759765625,7.4,22.363636363636363
2020-02-14 06:00:00,1012.3,20.7977294921875,43.548583984375,7.5,22.363636363636363
2020-02-14 07:00:00,1012.3,21.5606689453125,42.633056640625,7.5,22.363636363636363
2020-02-14 08:00:00,1012.5,22.247314453125,44.37255859375,7.800000000000001,22.727272727272727
2020-02-14 09:00:00,1012.7,22.705078125,44.647216796875,7.699999999999999,25.09090909090909
2020-02-14 10:00:00,1012.7,23.0560302734375,43.365478515625,7.699999999999999,25.272727272727273
2020-02-14 15:00:00,1014.7,21.636962890625,42.083740234375,8.2,25.181818181818183
2020-02-14 16:00:00,1016.4,21.4691162109375,35.736083984375,8.0,25.09090909090909
2020-02-14 17:00:00,1017.6,21.087646484375,33.416748046875,7.9,25.0
2020-02-14 18:00:00,1018.1,20.843505859375,32.379150390625,7.800000000000001,25.0
2020-02-14 19:00:00,1019.1,20.44677734375,31.8603515625,7.6,24.90909090909091
